hip_flex,hip_abd,hip_rot,knee_flex,ankle_flex,ankle_sub,watts,rpm,mass,grf_x,grf_y,grf_z,hip_flex_moment,hip_abd_moment,hip_rot_moment,knee_flex_moment,ankle_flex_moment,subtalar_moment
0.338587492,-0.128650639,-0.037459535,0.451253742,-0.124044587,-0.027273491,0.600735294,0.9,0.843137255,45.74117551,288.0013131,8.302710583,-110.0882246,-7.698721307,11.22729341,-54.44179049,-34.95817886,6.872307411
0.330628655,-0.13043913,-0.036706525,0.443612291,-0.127605382,-0.02601489,0.600735294,0.9,0.843137255,41.95535148,281.1948216,6.74880257,-106.3503969,-9.325593599,11.64927164,-54.28602343,-34.1017029,6.426570209
0.321233533,-0.13123748,-0.038582238,0.436280864,-0.130968706,-0.025619952,0.600735294,0.9,0.843137255,38.56556386,274.7620339,5.302722003,-102.7775621,-10.52010091,11.91351366,-54.04531261,-33.29350024,6.020442402
0.310279583,-0.131021935,-0.043360573,0.429265774,-0.134024931,-0.026274798,0.600735294,0.9,0.843137255,35.58235327,268.897347,3.995496459,-99.44692253,-11.28046162,12.04203277,-53.7556157,-32.54606451,5.655822625
0.30017606,-0.131046323,-0.047538178,0.423382402,-0.13695739,-0.026840143,0.600735294,0.9,0.843137255,33.0078109,263.6814617,2.837746355,-96.39944405,-11.63484441,12.05600929,-53.43490106,-31.86014767,5.3310633
0.292745411,-0.132209251,-0.048514165,0.419259487,-0.13990224,-0.026444699,0.600735294,0.9,0.843137255,30.81149557,259.0798291,1.811461558,-93.66958506,-11.6209713,11.9786296,-53.09775705,-31.23442294,5.043115658
0.287022546,-0.13376624,-0.047954432,0.416638493,-0.142756003,-0.025519685,0.600735294,0.9,0.843137255,28.93278914,254.9483671,0.880983925,-91.27207613,-11.3095688,11.84124937,-52.7483808,-30.66129058,4.783942907
0.281399933,-0.13460467,-0.048497017,0.415057895,-0.145360999,-0.024799248,0.600735294,0.9,0.843137255,27.28878856,251.0832243,-0.003730478,-89.21395795,-10.78065657,11.67718624,-52.38754805,-30.13098144,4.544121245
0.275522244,-0.134592425,-0.050605219,0.414489296,-0.147690886,-0.024495462,0.600735294,0.9,0.843137255,25.80708902,247.2413291,-0.886419058,-87.43883909,-10.13822073,11.51791078,-51.99709227,-29.61989975,4.31100672
0.270286355,-0.134577887,-0.052567598,0.415337419,-0.149850656,-0.024298331,0.600735294,0.9,0.843137255,24.43245386,243.1712178,-1.79783194,-85.82689601,-9.51021384,11.39304643,-51.53990469,-29.09062308,4.06873523
